,reg,dates,anxiete,depression,pbsommeil,ps12mois
118,84,2020-06-09,16.7,14.9,65.7,
119,93,2020-06-09,17.8,9.1,65.8,
120,11,2020-06-23,14.4,13.6,58.3,
121,24,2020-06-23,15.6,6.1,56.0,
122,27,2020-06-23,12.3,9.2,64.6,
123,28,2020-06-23,15.2,7.3,67.7,
124,32,2020-06-23,19.7,12.6,70.5,
125,44,2020-06-23,15.3,14.5,57.3,
126,52,2020-06-23,14.3,7.8,63.1,
127,53,2020-06-23,16.2,13.8,59.6,
128,75,2020-06-23,17.2,10.0,61.4,
129,76,2020-06-23,10.8,8.5,59.5,
130,84,2020-06-23,14.0,10.5,63.3,
131,93,2020-06-23,16.3,12.7,69.9,
132,11,2020-07-07,19.8,13.3,67.8,
133,24,2020-07-07,19.7,8.4,64.3,
134,27,2020-07-07,19.4,11.0,72.0,
135,28,2020-07-07,16.3,8.8,78.5,
136,32,2020-07-07,20.0,13.4,63.4,
137,44,2020-07-07,20.4,9.9,67.2,
138,52,2020-07-07,12.7,10.3,66.6,
139,53,2020-07-07,12.5,4.7,57.8,
140,75,2020-07-07,11.7,6.6,56.1,
141,76,2020-07-07,16.9,10.2,64.9,
142,84,2020-07-07,16.8,11.8,62.8,
143,93,2020-07-07,14.2,11.3,67.3,
144,11,2020-07-21,19.07518,15.489629999999998,67.41644,
145,24,2020-07-21,11.69385,11.74883,68.89454,
146,27,2020-07-21,13.2825,8.75829,54.51314000000001,
147,28,2020-07-21,22.88262,10.83917,57.73899,
148,32,2020-07-21,21.02769,13.2607,72.00558000000001,
149,44,2020-07-21,17.62598,11.431149999999999,64.73598,
150,52,2020-07-21,14.468990000000002,6.844849999999999,69.54819,
151,53,2020-07-21,20.05544,12.49086,58.705220000000004,
152,75,2020-07-21,14.53234,9.70388,60.669830000000005,
153,76,2020-07-21,17.11833,9.93557,67.05348,
154,84,2020-07-21,16.373160000000002,10.202219999999999,61.11291,
155,93,2020-07-21,18.40436,12.567049999999998,59.229620000000004,
156,11,2020-08-25,14.9,11.2,64.7,
157,24,2020-08-25,14.6,13.4,57.5,
158,27,2020-08-25,12.0,10.9,59.2,
159,28,2020-08-25,14.7,7.3,70.5,
160,32,2020-08-25,26.9,17.1,70.2,
161,44,2020-08-25,23.9,15.6,68.5,
162,52,2020-08-25,23.9,15.1,73.0,
163,53,2020-08-25,13.8,13.8,64.8,
164,75,2020-08-25,16.8,8.9,62.6,
165,76,2020-08-25,17.4,11.4,58.2,
166,84,2020-08-25,14.7,9.4,66.1,
167,93,2020-08-25,14.9,8.7,57.3,
168,11,2020-09-22,18.4,13.0,64.3,
169,24,2020-09-22,18.2,10.5,69.3,
170,27,2020-09-22,18.8,8.2,61.0,
171,28,2020-09-22,18.1,15.6,63.0,
172,32,2020-09-22,22.4,7.6,75.5,
173,44,2020-09-22,15.0,10.8,66.3,
174,52,2020-09-22,23.7,13.3,68.0,
175,53,2020-09-22,16.9,10.5,67.4,
176,75,2020-09-22,18.9,10.4,69.5,
177,76,2020-09-22,22.5,13.7,64.0,
178,84,2020-09-22,14.2,8.5,61.0,
179,93,2020-09-22,11.0,8.8,62.7,
180,11,2020-10-20,16.9,20.2,65.3,
181,24,2020-10-20,13.2,12.3,63.2,
182,27,2020-10-20,15.3,10.9,63.7,
183,28,2020-10-20,23.3,16.7,64.9,
184,32,2020-10-20,23.3,18.9,61.3,
185,44,2020-10-20,20.9,14.0,62.0,
186,52,2020-10-20,16.4,8.2,64.8,
187,53,2020-10-20,21.5,17.1,57.1,
188,75,2020-10-20,14.5,13.8,64.0,
189,76,2020-10-20,22.0,18.5,66.2,
190,84,2020-10-20,20.1,13.3,68.8,
191,93,2020-10-20,20.6,12.3,66.2,
192,11,2020-11-04,17.4,19.7,62.1,
193,24,2020-11-04,14.5,18.3,69.6,
194,27,2020-11-04,23.0,21.6,55.3,
195,28,2020-11-04,33.1,20.8,69.0,
196,32,2020-11-04,23.7,25.9,70.3,
197,44,2020-11-04,21.9,20.4,53.3,
198,52,2020-11-04,22.4,18.0,67.8,
199,53,2020-11-04,22.8,20.4,62.8,
200,75,2020-11-04,20.5,25.4,68.0,
201,76,2020-11-04,16.5,16.5,64.1,
202,84,2020-11-04,17.9,17.5,55.9,
203,93,2020-11-04,25.1,23.1,65.7,
204,11,2020-11-24,18.4,22.7,71.3,
205,24,2020-11-24,15.4,17.3,70.1,
206,27,2020-11-24,16.4,18.6,66.1,
207,28,2020-11-24,21.9,18.6,66.5,
208,32,2020-11-24,25.7,27.9,71.8,
209,44,2020-11-24,18.5,26.1,60.3,
210,52,2020-11-24,10.1,19.8,58.9,
211,53,2020-11-24,17.6,17.2,64.0,
212,75,2020-11-24,15.3,21.7,66.1,
213,76,2020-11-24,18.6,25.5,62.8,
214,84,2020-11-24,15.9,21.9,61.6,
215,93,2020-11-24,25.8,23.6,63.9,
216,11,2020-12-15,16.7,21.9,66.1,
217,24,2020-12-15,15.9,20.2,58.7,
218,27,2020-12-15,19.4,23.2,68.4,
219,28,2020-12-15,27.9,29.6,66.3,
220,32,2020-12-15,29.0,22.3,72.1,
221,44,2020-12-15,19.8,21.5,65.9,
222,52,2020-12-15,17.3,15.0,65.8,
223,53,2020-12-15,14.8,8.7,54.4,
224,75,2020-12-15,15.6,21.0,69.9,
225,76,2020-12-15,23.6,26.3,67.1,
226,84,2020-12-15,22.6,15.0,69.2,
227,93,2020-12-15,20.2,19.6,60.3,
228,11,2021-01-19,21.1,18.0,70.0,
229,24,2021-01-19,13.6,18.4,66.0,
230,27,2021-01-19,19.2,9.3,65.2,
231,28,2021-01-19,22.7,23.6,75.1,
232,32,2021-01-19,20.0,19.0,64.8,
233,44,2021-01-19,19.3,25.0,69.6,
234,52,2021-01-19,22.8,27.3,72.3,
235,53,2021-01-19,22.7,22.6,67.8,
236,75,2021-01-19,17.8,22.7,67.0,
237,76,2021-01-19,19.0,15.9,64.2,
238,84,2021-01-19,14.7,16.3,59.0,
239,93,2021-01-19,18.4,18.5,67.1,
240,11,2021-02-14,24.1,20.5,66.8,8.1
241,24,2021-02-14,23.7,23.6,72.9,9.5
242,27,2021-02-14,28.8,21.7,68.3,13.0
243,28,2021-02-14,20.5,28.3,69.7,12.1
244,32,2021-02-14,27.5,28.0,63.2,7.3
245,44,2021-02-14,25.4,27.8,62.6,9.9
246,52,2021-02-14,14.9,18.0,60.5,6.8
247,53,2021-02-14,15.8,19.3,70.7,4.7
248,75,2021-02-14,20.1,24.0,67.8,10.1
249,76,2021-02-14,22.4,20.0,68.0,7.0
250,84,2021-02-14,23.7,23.9,60.6,6.6
251,93,2021-02-14,20.2,17.3,65.7,7.2
252,11,2021-03-16,21.4,19.7,66.3,8.8
253,24,2021-03-16,20.3,22.3,65.0,8.8
254,27,2021-03-16,24.1,19.1,70.9,13.0
