,age,dates,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup
57,35-49 ans,2020-07-07,20.8,17.5,24.5,13.3,10.6,16.5,71.9,67.9,75.6,,,
58,50-64 ans,2020-07-07,13.4,10.8,16.6,10.7,8.4,13.6,63.0,58.7,67.1,,,
59,65 ans et plus,2020-07-07,9.1,6.9,12.0,5.7,4.0,8.2,55.0,50.6,59.4,,,
60,18-24 ans,2020-07-21,21.44422,15.291170000000001,29.21917,12.819439999999998,8.20974,19.4685,69.18731,60.954589999999996,76.35746,,,
61,25-34 ans,2020-07-21,26.880090000000003,21.82297,32.62013,14.46799,10.68717,19.29736,74.60694,68.85882,79.60825,,,
62,35-49 ans,2020-07-21,18.204600000000003,15.183269999999998,21.67352,13.45527,10.81621,16.618260000000003,67.42563,63.298989999999996,71.29867,,,
63,50-64 ans,2020-07-21,15.98563,13.135269999999998,19.316959999999998,11.90361,9.42081,14.932870000000001,63.770340000000004,59.584199999999996,67.75751,,,
64,65 ans et plus,2020-07-21,10.83075,8.40708,13.847499999999998,7.105599999999999,5.17579,9.68149,52.15807,47.68946,56.5924,,,
65,18-24 ans,2020-08-25,25.2,18.3,33.7,5.9,3.0,11.2,65.9,57.2,73.7,,,
66,25-34 ans,2020-08-25,22.9,18.5,28.1,13.1,9.6,17.6,71.7,66.2,76.7,,,
67,35-49 ans,2020-08-25,20.5,17.2,24.2,14.1,11.3,17.5,69.6,65.5,73.5,,,
68,50-64 ans,2020-08-25,14.5,11.7,17.8,13.4,10.8,16.6,63.2,58.9,67.4,,,
69,65 ans et plus,2020-08-25,10.7,8.3,13.6,9.0,6.8,11.8,55.3,50.9,59.7,,,
70,18-24 ans,2020-09-22,28.0,20.6,36.8,13.2,8.0,21.0,84.1,76.6,89.5,,,
71,25-34 ans,2020-09-22,27.7,22.9,33.1,9.8,6.9,13.7,70.1,64.5,75.1,,,
72,35-49 ans,2020-09-22,19.8,16.6,23.5,11.0,8.6,14.0,65.1,60.8,69.1,,,
73,50-64 ans,2020-09-22,15.0,12.2,18.3,14.8,12.2,18.2,64.8,60.5,68.9,,,
74,65 ans et plus,2020-09-22,8.7,6.5,11.6,6.6,4.7,9.2,57.1,52.7,61.4,,,
75,18-24 ans,2020-10-20,22.3,16.5,29.3,18.6,13.2,25.6,66.4,58.8,73.3,,,
76,25-34 ans,2020-10-20,26.3,21.6,31.5,20.2,16.1,25.1,70.6,65.2,75.4,,,
77,35-49 ans,2020-10-20,24.7,21.1,28.6,18.8,15.7,22.5,66.3,62.1,70.2,,,
78,50-64 ans,2020-10-20,15.4,12.5,18.8,14.1,11.3,17.4,65.5,61.1,69.7,,,
79,65 ans et plus,2020-10-20,11.0,8.5,14.2,9.2,6.9,12.2,56.7,52.2,61.1,,,
80,18-24 ans,2020-11-04,29.9,23.1,37.7,29.0,22.3,36.7,70.6,62.7,77.5,,,
81,25-34 ans,2020-11-04,26.6,21.9,31.9,24.8,20.3,29.9,67.5,61.9,72.5,,,
82,35-49 ans,2020-11-04,23.0,19.6,26.8,22.5,19.1,26.3,67.7,63.5,71.6,,,
83,50-64 ans,2020-11-04,17.5,14.5,21.1,18.5,15.4,22.1,61.2,56.9,65.3,,,
