numDep,DISP_TP6018,DISP_Q118,DISP_MED18,DISP_Q318,DISP_EQ18,DISP_D118,DISP_D218,DISP_D318,DISP_D418,DISP_D618,DISP_D718,DISP_D818,DISP_D918,DISP_RD18,DISP_S80S2018,DISP_GI18,DISP_PACT18,DISP_PTSA18,DISP_PCHO18,DISP_PBEN18,DISP_PPEN18,DISP_PPAT18,DISP_PPSOC18,DISP_PPFAM18,DISP_PPMINI18,DISP_PPLOGT18,DISP_PIMPOT18,DISP_NOTE18
01,21.6,14798.048780487805,20543.658536585364,27809.51219512195,0.6190243902439025,10847.073170731708,13624.878048780487,15949.512195121952,18221.219512195123,23023.90243902439,25986.09756097561,30102.439024390245,37378.78048780488,3.4170731707317064,4.351219512195121,0.2845853658536585,70.54878048780488,64.4925,3.5700000000000003,2.8750000000000004,28.51707317073171,8.851219512195124,8.11951219512195,2.9585365853658536,3.060975609756097,2.1,-16.03658536585366,0.0
02,27.262711864406786,13125.671641791045,17746.417910447763,23760.89552238806,0.5946268656716419,9881.492537313432,12154.776119402984,14070.0,15890.149253731342,19808.955223880595,22241.492537313432,25661.492537313432,31847.761194029852,3.210447761194031,3.922388059701493,0.2663283582089551,62.06865671641791,56.003389830508475,3.540677966101695,4.769491525423728,32.156716417910445,6.861194029850748,13.294029850746268,3.7880597014925366,5.977611940298507,3.5283582089552246,-14.380597014925375,0.0
03,21.013888888888893,14470.444444444445,19494.444444444445,25673.555555555555,0.5766666666666665,10824.666666666666,13380.0,15466.666666666666,17464.222222222223,21648.666666666668,24129.11111111111,27535.11111111111,33695.77777777778,3.142222222222223,3.8311111111111105,0.26100000000000007,56.64222222222224,49.36666666666666,2.8466666666666667,4.42888888888889,39.902222222222214,9.633333333333333,9.395555555555553,2.1466666666666665,4.671111111111111,2.577777777777778,-15.573333333333332,0.0
04,19.666666666666668,14784.70588235294,20068.823529411766,26767.647058823528,0.6011764705882352,11068.823529411764,13680.588235294117,15788.235294117647,17926.470588235294,22348.823529411766,25031.176470588234,28698.823529411766,35822.35294117647,3.252941176470589,4.570588235294117,0.2899411764705883,58.00588235294117,50.27058823529412,3.0352941176470587,4.7,35.1,15.558823529411764,8.241176470588234,2.2411764705882353,3.7588235294117656,2.2411764705882358,-16.905882352941177,0.0
05,16.329411764705878,15666.190476190477,20786.666666666668,27090.0,0.5528571428571429,11900.0,14485.714285714286,16725.238095238095,18827.619047619046,22893.333333333332,25487.619047619046,29046.666666666668,35686.19047619047,3.019047619047619,3.6714285714285713,0.2582857142857143,63.961904761904755,55.00952380952382,3.0714285714285716,5.880952380952381,35.79047619047619,10.395238095238094,6.428571428571429,2.0095238095238095,2.7190476190476187,1.6999999999999997,-16.576190476190476,0.0
06,18.23344481605351,15727.425149700599,21787.305389221558,29788.443113772457,0.6410479041916166,11206.22754491018,14404.101796407185,16971.616766467065,19382.36526946108,24494.34131736527,27753.80239520958,32314.071856287424,40657.754491017964,3.653592814371258,4.686526946107784,0.2935898203592813,70.63682634730546,61.187951807228885,3.462650602409637,6.064156626506025,30.444311377245512,12.320658682634729,6.130538922155687,1.8149700598802396,2.7505988023952104,1.564970059880239,-19.53233532934132,0.011976047904191617
07,21.49285714285714,14902.5,19662.5,25612.0,0.5495,11319.0,13836.0,15941.5,17846.5,21612.0,24051.0,27402.0,33867.5,3.0200000000000005,3.84,0.26789999999999997,61.56000000000002,52.94,3.655,4.965,35.105000000000004,11.179999999999998,8.37,2.57,3.499999999999999,2.3,-16.214999999999996,0.0
08,30.699999999999996,12768.333333333334,17406.333333333332,23115.666666666668,0.5896666666666666,9659.666666666666,11776.333333333334,13709.333333333334,15550.333333333334,19384.666666666668,21701.0,24914.0,30272.0,3.11,3.7266666666666657,0.25946666666666673,58.37666666666667,53.82000000000002,3.2760000000000002,5.031999999999999,33.68666666666667,6.34,15.323333333333332,3.593333333333332,7.483333333333333,4.246666666666666,-13.726666666666665,0.03333333333333333
09,21.400000000000002,13583.333333333334,18083.333333333332,23821.666666666668,0.5733333333333334,10400.0,12565.0,14426.666666666666,16183.333333333334,20140.0,22458.333333333332,25650.0,31840.0,3.0666666666666664,3.766666666666666,0.26366666666666666,61.73333333333333,53.6,3.6,4.533333333333334,32.88333333333333,8.583333333333334,11.616666666666667,2.85,5.533333333333334,3.233333333333333,-14.816666666666665,0.0
10,24.28461538461539,13414.255319148937,17979.787234042553,23955.531914893618,0.5817021276595745,10106.595744680852,12443.191489361701,14352.553191489362,16134.04255319149,19968.936170212764,22410.425531914894,25876.17021276596,31991.91489361702,3.1638297872340435,3.9042553191489366,0.26500000000000007,63.92340425531915,56.8093023255814,3.8418604651162793,4.630232558139533,31.034042553191494,6.944680851063829,12.797872340425535,3.55744680851064,5.659574468085105,3.5808510638297877,-14.7,0.0
11,26.50769230769231,13315.818181818182,18171.090909090908,24574.0,0.6207272727272727,9992.363636363636,12315.272727272728,14239.09090909091,16180.545454545454,20370.363636363636,22995.636363636364,26531.81818181818,32804.545454545456,3.287272727272727,4.1036363636363635,0.27981818181818174,57.325454545454555,47.75090909090911,3.6563636363636354,5.918181818181817,36.57818181818182,9.39272727272727,11.858181818181817,2.6745454545454543,5.912727272727274,3.2709090909090905,-15.154545454545453,0.0
12,19.69565217391304,15168.387096774193,20016.129032258064,26376.774193548386,0.5593548387096773,11512.90322580645,14128.387096774193,16190.322580645161,18124.83870967742,22150.0,24761.290322580644,28436.451612903227,35225.8064516129,3.080645161290323,3.8838709677419354,0.26825806451612905,62.812903225806444,53.593548387096774,2.7903225806451606,6.429032258064514,35.538709677419355,10.799999999999999,7.519354838709678,2.0903225806451613,3.3935483870967733,2.035483870967742,-16.67096774193548,0.0
13,23.772764227642273,15149.4089456869,20684.041533546326,27837.220447284344,0.6096006389776357,11063.801916932907,13944.08945686901,16262.651757188498,18445.20766773163,23104.55271565495,26037.795527156548,30018.658146964855,37038.035143769965,3.364376996805111,4.145686900958464,0.27104952076677297,71.1662939297125,62.76915422885571,3.756716417910449,5.382089552238805,27.55718849840256,8.644089456869015,9.979392971246,2.9966453674121376,4.362140575079871,2.620607028753993,-17.346964856230016,0.022364217252396165
14,22.25820895522388,15009.540229885057,20025.287356321838,26690.344827586207,0.574712643678161,11221.6091954023,13903.908045977012,16020.80459770115,17996.091954022988,22295.74712643678,25012.873563218393,28800.689655172413,35709.19540229885,3.164367816091954,3.9436781609195393,0.267183908045977,66.36551724137931,58.84749999999998,3.2424999999999997,5.610000000000001,32.22528735632183,7.960919540229884,9.790804597701152,2.5448275862068974,4.343678160919539,2.902298850574713,-16.342528735632186,0.022988505747126436
15,17.78,15770.76923076923,20687.69230769231,27259.23076923077,0.556923076923077,11913.076923076924,14680.76923076923,16757.69230769231,18681.53846153846,22883.076923076922,25545.384615384617,29245.384615384617,36078.46153846154,3.038461538461538,3.8153846153846156,0.26592307692307693,61.57692307692308,53.838461538461544,2.3461538461538463,5.392307692307693,36.215384615384615,12.007692307692306,7.115384615384615,1.5615384615384618,3.4999999999999996,2.053846153846154,-16.915384615384614,0.0
16,22.6,13940.416666666666,19206.25,26209.583333333332,0.6383333333333333,10342.916666666666,12871.666666666666,15024.583333333334,17015.416666666668,21624.583333333332,24482.5,28405.0,35019.166666666664,3.3875000000000006,4.1916666666666655,0.28095833333333337,65.87916666666666,58.48636363636364,3.6590909090909096,5.468181818181818,30.987499999999997,7.562500000000001,11.491666666666665,2.625,5.575,3.291666666666666,-15.920833333333336,0.0
17,19.120833333333334,15306.440677966102,20647.966101694914,27870.338983050846,0.6059322033898303,11422.542372881357,14174.57627118644,16404.237288135595,18483.389830508473,23096.949152542373,26056.101694915254,30090.677966101695,37294.40677966102,3.2677966101694924,4.022033898305086,0.2716610169491526,57.472881355932195,48.19827586206896,3.413793103448276,5.855172413793105,40.961016949152544,10.133898305084745,8.340677966101694,1.9593220338983055,4.025423728813558,2.35593220338983,-16.908474576271182,0.01694915254237288
18,22.82368421052632,14508.048780487805,19324.878048780487,25483.414634146342,0.5695121951219514,10861.707317073171,13459.268292682927,15517.073170731708,17415.853658536584,21490.243902439026,23944.878048780487,27280.975609756097,33217.560975609755,3.0658536585365854,3.7170731707317075,0.2569512195121952,60.36829268292683,55.156756756756764,2.8216216216216212,4.489189189189189,36.94146341463415,7.439024390243899,10.68780487804878,2.675609756097561,5.221951219512197,2.790243902439024,-15.436585365853663,0.0
