,etablissement_code_commune,etablissement_commune,Dernier établissement,rentree,AgeBacAvanceOuATemps,AgeBacRetard
378,35238,Rennes,Université Rennes 2,2017,0.6434774028024473,0.3565225971975528
379,75107,Paris  7e,Sciences Po,2017,0.684326050084805,0.31567394991519504
380,94028,Créteil,Université Paris-Est Créteil,2017,0.6472419649034531,0.35275803509654696
381,35238,Rennes,Institut national des sciences appliquées de Rennes,2018,0.7967992240543162,0.2032007759456838
382,75113,Paris 13e,Université de Paris,2018,0.7044330916282135,0.2955669083717864
383,69387,Lyon 7e,Université Jean Moulin - Lyon 3,2018,0.6635206321334504,0.3364793678665496
384,75104,Paris  4e,Université Paris Lumières,2018,0.9056603773584906,0.09433962264150944
385,80021,Amiens,Université de Picardie Jules-Verne,2018,0.7201356746634633,0.27986432533653677
386,62041,Arras,Université d'Artois,2018,0.6769244105409153,0.3230755894590846
387,38421,Saint-Martin-d'Hères,Université Grenoble Alpes,2018,0.7156380423884913,0.2843619576115088
388,63113,Clermont-Ferrand,Université Clermont Auvergne,2018,0.7257504147234656,0.2742495852765345
389,76451,Mont-Saint-Aignan,Université de Rouen Normandie,2018,0.7404649290530341,0.2595350709469659
390,45234,Orléans,Université d'Orléans,2018,0.6930837289598619,0.30691627104013813
391,49007,Angers,Université d'Angers,2018,0.7604324981545009,0.23956750184549916
392,21231,Dijon,Université de Bourgogne,2018,0.7551471361930483,0.2448528638069517
393,76351,Le Havre,Université Le Havre Normandie,2018,0.6270341207349082,0.37296587926509184
394,90094,Sevenans,Université de technologie de Belfort-Montbéliard,2018,0.7459138187221397,0.2540861812778603
395,75114,Paris 14e,École pratique des hautes études,2018,0.45087336244541487,0.5491266375545851
396,75105,Paris  5e,Institut de physique du globe,2018,0.4675324675324675,0.5324675324675324
397,35238,Rennes,École des hautes études en santé publique,2018,0.5769230769230769,0.4230769230769231
398,78646,Versailles,Université de Versailles Saint-Quentin-en-Yvelines,2018,0.7202234488262287,0.27977655117377137
399,67482,Strasbourg,Institut national des sciences appliquées de Strasbourg,2018,0.8229640870005058,0.17703591299949417
400,31555,Toulouse,Sciences Po Toulouse,2018,0.8477951635846372,0.15220483641536273
401,69081,Écully,Centrale Lyon,2018,0.7553304904051172,0.24466950959488273
402,35238,Rennes,École nationale supérieure de chimie de Rennes,2018,0.8385093167701864,0.16149068322981366
403,91272,Gif-sur-Yvette,CentraleSupélec,2018,0.7409914393788573,0.25900856062114275
404,66136,Perpignan,Université de Perpignan Via Domitia,2018,0.5751952019916261,0.4248047980083739
405,84007,Avignon,Avignon Université,2018,0.6604831751509922,0.33951682484900775
406,75113,Paris 13e,École des hautes études en sciences sociales,2018,0.4940032414910859,0.5059967585089141
407,98738,Punaauia,Université de la Polynésie Française,2018,0.6813186813186813,0.31868131868131866
408,25056,Besançon,Université de Franche-Comté,2019,0.7516729266502612,0.2483270733497388
409,25056,Besançon,Université Bourgogne - Franche-Comté,2019,0.4516775162744116,0.5483224837255883
410,,,Université Paris Dauphine - PSL,2019,0.7478026905829597,0.2521973094170404
411,21231,Dijon,Université de Bourgogne,2019,0.7580413326093206,0.2419586673906794
412,65440,Tarbes,École nationale d'ingénieurs de Tarbes,2019,0.8710232158211522,0.1289767841788478
413,2B096,Corte,Université de Corse Pasquale Paoli,2019,0.7622317596566524,0.23776824034334765
414,,,Institut d'optique Graduate School,2019,0.8595238095238096,0.14047619047619048
415,59512,Roubaix,École nationale supérieure des arts et industries textiles,2019,0.863013698630137,0.136986301369863
416,93066,Saint-Denis,Université Paris 8 - Vincennes - Saint-Denis,2019,0.5009072058061171,0.49909279419388286
417,67482,Strasbourg,Institut national des sciences appliquées de Strasbourg,2019,0.8517776664997496,0.14822233350025038
418,37261,Tours,Université de Tours,2019,0.7823458282950423,0.21765417170495768
419,93079,Villetaneuse,Université Sorbonne Paris Nord,2019,0.5952329266704294,0.4047670733295706
420,69387,Lyon 7e,Sciences Po Lyon,2019,0.8273045507584598,0.17269544924154026
421,86194,Poitiers,Université de Poitiers,2019,0.7480207384572269,0.25197926154277306
422,75113,Paris 13e,Arts et Métiers Sciences et Technologies,2019,0.8134328358208955,0.1865671641791045
423,14118,Caen,Université de Caen Normandie,2019,0.7593598638565258,0.24064013614347426
424,,,École nationale des Chartes,2019,0.7891566265060241,0.21084337349397592
425,13207,Marseille  7e,Aix-Marseille Université,2019,0.7059057523192545,0.29409424768074555
426,97120,Pointe-à-Pitre,Université des Antilles,2019,0.7483988229184698,0.2516011770815302
427,29019,Brest,Université de Bretagne Occidentale,2020,0.7697323678841461,0.2302676321158539
428,13213,Marseille 13e,Centrale Marseille,2020,0.7826839826839826,0.21731601731601732
429,77083,Champs-sur-Marne,Université Gustave Eiffel,2020,0.7331294207608487,0.2668705792391512
430,31555,Toulouse,Université Toulouse Capitole,2020,0.7705607950512119,0.22943920494878817
431,51454,Reims,Université de Reims Champagne-Ardenne,2020,0.7346109391894411,0.2653890608105589
432,75105,Paris  5e,Université Paris 1 - Panthéon Sorbonne,2020,0.7170956896984294,0.2829043103015706
433,,,École normale supérieure PSL,2020,0.8068469991546915,0.19315300084530854
434,69266,Villeurbanne,Institut national des sciences appliquées de Lyon,2020,0.7591473648875462,0.24085263511245383
435,10387,Troyes,Université de technologie de Troyes,2020,0.6898034398034398,0.3101965601965602
436,62041,Arras,Université d'Artois,2020,0.7083843745746563,0.2916156254253437
437,,,Université Paris Dauphine - PSL,2020,0.789100868908198,0.21089913109180203
438,75113,Paris 13e,Institut national des langues et civilisations orientales,2020,0.6541341145833334,0.3458658854166667
439,91538,Saint-Aubin,Université Paris-Saclay,2020,0.7149297483068836,0.28507025169311634
440,75105,Paris  5e,Université Panthéon-Assas,2020,0.756484912652197,0.24351508734780308
441,30189,Nîmes,Université de Nîmes,2020,0.6910206358059119,0.3089793641940881
442,21231,Dijon,Université de Bourgogne,2020,0.7664288632578019,0.23357113674219807
443,64445,Pau,Université de Pau et des Pays de l'Adour,2020,0.727431876998021,0.27256812300197897
444,33318,Pessac,Université Bordeaux Montaigne,2020,0.7373582003460873,0.2626417996539127
445,,,École pratique des hautes études,2020,0.420627802690583,0.579372197309417
446,91228,Évry-Courcouronnes,Université d'Évry-Val-d'Essonne,2020,0.6850758853288365,0.3149241146711636
447,76575,Saint-Étienne-du-Rouvray,Institut national des sciences appliquées de Rouen Normandie,2020,0.779296875,0.220703125
448,98818,Nouméa,Université de la Nouvelle-Calédonie,2020,0.6945444475214622,0.3054555524785378
449,67482,Strasbourg,Institut national des sciences appliquées de Strasbourg,2020,0.8533201189296333,0.1466798810703667
450,75106,Paris  6e,Sorbonne Université,2020,0.7187996435352009,0.28120035646479913
451,69387,Lyon 7e,École normale supérieure de Lyon,2020,0.8736745043798986,0.12632549562010142
452,54395,Nancy,Université de Lorraine,2020,0.7226061796321005,0.2773938203678995
453,,,Observatoire de Paris,2020,0.8260869565217391,0.17391304347826086
454,,,École nationale des Chartes,2020,0.7928994082840237,0.20710059171597633
455,75105,Paris  5e,IAE Paris - Sorbonne Business School,2020,0.49561146869514333,0.5043885313048566
456,75113,Paris 13e,École des hautes études en sciences sociales,2020,0.5402811107302022,0.45971888926979776
457,38185,Grenoble,Institut polytechnique de Grenoble,2006,0.7572441742654509,0.24275582573454915
458,18033,Bourges,Institut national des sciences appliquées Centre Val de Loire,2006,0.8862433862433863,0.11375661375661375
459,97209,Fort-de-France,Université des Antilles,2006,0.6473988439306358,0.35260115606936415
460,75105,Paris  5e,Université de Paris,2006,0.5837372105546581,0.41626278944534195
461,59009,Villeneuve-d'Ascq,Centrale Lille Institut,2006,0.884393063583815,0.11560693641618497
462,94016,Cachan,École normale supérieure Paris-Saclay,2006,0.8600823045267489,0.13991769547325103
463,69387,Lyon 7e,Université Jean Moulin - Lyon 3,2006,0.5468692279275951,0.4531307720724049
464,80021,Amiens,Université de Picardie Jules-Verne,2006,0.5775553265616566,0.4224446734383434
465,69387,Lyon 7e,École normale supérieure de Lyon,2006,0.5220588235294118,0.47794117647058826
466,69387,Lyon 7e,Université Lumière - Lyon 2,2006,0.5393712920872178,0.4606287079127822
467,33318,Pessac,Sciences Po Bordeaux,2006,0.7309875141884222,0.2690124858115778
468,54357,Maxéville,Université de Lorraine,2006,0.735014619883041,0.26498538011695905
469,97411,Saint-Denis,Université de La Réunion,2006,0.7380165289256199,0.2619834710743802
470,75105,Paris  5e,Université Panthéon-Assas,2006,0.6332606185037855,0.36673938149621454
471,34172,Montpellier,École nationale supérieure de chimie de Montpellier,2006,0.8981233243967829,0.10187667560321716
472,86062,Chasseneuil-du-Poitou,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,2006,0.9083333333333333,0.09166666666666666
473,67482,Strasbourg,Université de Strasbourg,2006,0.600664384940608,0.39933561505939197
