annee_universitaire;composante_id_paysage;composante_lib;composante_id_uai;etablissement_id_paysage;etablissement_lib;composante_localisation;effectif;effectif_sans_cpge;effectif_total;effectif_total_sans_cpge;sexef;sexem;bac1;bac2;bac3;bac4;bac5;bac6;bac7;bac_ageavance;bac_agea_l_heure;bac_ageretard;bac_ageso;attrac_nat_dep_bac1;attrac_nat_dep_bac2;attrac_nat_dep_bac3;attrac_nat_dep_bac4;attrac_nat_dep_bac5;attrac_nat_dep_bac9;mobilite_internm;attrac_interne;gd_discisciplinedsa;gd_discisciplinellsh;gd_discisciplinesi;gd_discisciplinestaps;discipline02;discipline04;discipline05;discipline06;discipline32;discipline09;discipline15;discipline33;discipline10;composante_id_region;composante_region;composante_id_academie;composante_academie;rentree;annee
2013-14;EqtZx;INSPÉ de l’Académie de Lille;0596983V;IZ3tY;Lille Nord de France;Hauts-de-France>Lille;2204;2204;2204;2204;1468;736;589;590;750;101;90;24;60;142;1462;540;60;1394;522;153;74;1;60;104;38;96;1674;208;226;96;158;262;1250;4;74;134;;226;R32;Hauts-de-France;A09;Lille;2013;2014
2013-14;KK7hH;INSPÉ de l'Académie de Limoges;0875078X;nkbwh;Université de Limoges;Nouvelle-Aquitaine>Limoges;291;291;291;291;198;93;93;64;83;15;3;1;32;8;190;61;32;107;105;44;3;;32;31;31;;224;48;19;;16;27;181;;;48;;19;R75;Nouvelle-Aquitaine;A22;Limoges;2013;2014
2013-14;M8Y6c;INSPÉ de l'Académie de Versailles;0783634B;W6CUQ;Université de Cergy-Pontoise;Île-de-France>Versailles;1737;1737;1738;1738;1291;446;428;435;460;158;105;19;132;65;941;599;132;560;534;489;22;;132;106;98;25;1460;129;123;25;11;104;1305;40;18;52;59;123;R11;Île-de-France;A25;Versailles;2013;2014
2013-14;QOggm;INSPÉ de l'Académie de Poitiers;0861433R;hlX1r;Université de Poitiers;Nouvelle-Aquitaine>Poitiers;567;567;567;567;394;173;169;148;182;26;20;5;17;28;375;147;17;177;226;145;2;;17;14;14;8;446;63;50;8;16;41;389;;22;41;;50;R75;Nouvelle-Aquitaine;A13;Poitiers;2013;2014
2013-14;Rb9OR;INSPÉ de l'Académie de  Montpellier;0342322P;4TeGd;Languedoc-Roussillon Universités;Occitanie>Montpellier;1535;1535;1537;1537;1153;382;452;400;434;105;49;22;73;64;975;423;73;566;265;603;28;;73;74;63;63;1324;84;64;63;60;166;1057;41;24;60;;64;R76;Occitanie;A11;Montpellier;2013;2014
2013-14;WjV5I;INSPÉ de l'Académie de Martinique;9720894P;XDl91;Université des Antilles et de la Guyane;Martinique;142;142;142;142;119;23;58;19;30;20;4;5;6;7;79;50;6;112;13;10;1;;6;2;1;;134;8;;;12;34;87;1;;8;;;R02;Martinique;A31;Martinique;2013;2014
2014-15;39cGg;INSPÉ de l'Académie de Nantes;0442764R;7hB8r;Université de Nantes;Pays de la Loire>Nantes;3250;3250;3256;3256;2405;845;901;983;1006;142;117;30;71;165;2275;739;71;1110;885;1142;42;;71;39;34;53;2802;252;143;53;102;152;2528;20;42;112;98;143;R52;Pays de la Loire;A17;Nantes;2014;2015
2014-15;ASiVr;ESPE de la Nouvelle-Calédonie;9830690H;Z2FY5;Université de la Nouvelle-Calédonie;Collectivités d'outre-mer>Nouvelle-Calédonie;97;97;97;97;59;38;20;18;55;;1;;3;40;33;21;3;77;;17;;;3;1;1;;97;;;;;;97;;;;;;R00;Collectivités d'outre-mer;A40;Nouvelle-Calédonie;2014;2015
2014-15;EqtZx;INSPÉ de l’Académie de Lille;0596983V;IZ3tY;Lille Nord de France;Hauts-de-France>Lille;3978;3978;3980;3980;2709;1269;1078;1070;1393;168;151;34;84;267;2733;894;84;2488;874;414;117;1;84;150;57;122;3215;318;323;122;247;331;2625;12;94;224;;323;R32;Hauts-de-France;A09;Lille;2014;2015
2014-15;QOggm;INSPÉ de l'Académie de Poitiers;0861433R;hlX1r;Université de Poitiers;Nouvelle-Aquitaine>Poitiers;1222;1222;1224;1224;864;358;345;337;405;41;34;12;48;60;816;298;48;441;355;374;4;;48;41;40;15;1054;68;85;15;35;71;948;;25;43;;85;R75;Nouvelle-Aquitaine;A13;Poitiers;2014;2015
