Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Autre établissement;6047;430;4324;1163;130;59009;Villeneuve-d'Ascq;Université de Lille;2007
École;1446;304;796;22;324;69081;Écully;Centrale Lyon;2007
École;741;40;461;170;70;57463;Metz;Université de Lorraine;2007
Autre établissement;2220;132;1268;369;451;38185;Grenoble;Université Grenoble Alpes;2007
École;400;43;303;6;48;35238;Rennes;École nationale supérieure de chimie de Rennes;2007
Université;27865;1715;16659;6724;1725;31555;Toulouse;Université Toulouse III - Paul Sabatier;2007
Université;9664;224;3610;2581;3249;66136;Perpignan;Université de Perpignan Via Domitia;2007
École;187;17;137;24;9;87085;Limoges;Université de Limoges;2007
Grand établissement;5561;866;3449;323;922;75107;Paris  7e;Sciences Po;2007
École;384;43;289;37;15;33522;Talence;Bordeaux INP;2007
Université;24156;1010;10906;7162;4685;94028;Créteil;Université Paris-Est Créteil;2007
Université;11995;654;6721;3219;1397;34172;Montpellier;Université de Montpellier;2007
Université;11016;461;6067;3189;1251;73065;Chambéry;Université Savoie Mont Blanc;2007
Grand établissement;4965;599;3110;317;939;38185;Grenoble;Institut polytechnique de Grenoble;2008
École;1417;130;1066;65;156;35238;Rennes;Institut national des sciences appliquées de Rennes;2008
Université;7792;226;4223;2336;830;56121;Lorient;Université Bretagne Sud;2008
École;367;42;263;12;50;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2008
Autre établissement;1469;172;1022;124;151;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2008
École;676;116;444;20;96;69387;Lyon 7e;École normale supérieure de Lyon;2008
Grand établissement;8703;920;5167;1133;1481;75116;Paris 16e;Université Paris Dauphine - PSL;2008
Université;20215;1676;11710;4834;1974;13207;Marseille  7e;Aix-Marseille Université;2008
Autre établissement;1766;175;1207;172;212;13001;Aix-en-Provence;Sciences Po Aix;2008
Autre établissement;993;136;779;78;;35238;Rennes;Sciences Po Rennes;2008
Université;26878;1325;15164;6730;3117;21231;Dijon;Université de Bourgogne;2008
