Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
École;599;21;359;137;82;29019;Brest;École nationale d'ingénieurs de Brest;2007
Université;23100;1115;12571;5493;3424;86194;Poitiers;Université de Poitiers;2007
École;140;7;92;40;1;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2007
Université;19222;1049;10150;5133;2760;13001;Aix-en-Provence;Aix-Marseille Université;2007
Autre établissement;2813;203;1859;647;104;31555;Toulouse;Université Toulouse - Jean Jaurès;2007
Université;23554;1228;12939;6607;2490;14118;Caen;Université de Caen Normandie;2007
Université;17935;936;8821;4181;3985;59009;Villeneuve-d'Ascq;Université de Lille;2007
Autre établissement;1312;69;964;267;12;63075;Chamalières;Université Clermont Auvergne;2007
Université;17376;706;9172;5426;1809;35238;Rennes;Université Rennes 2;2007
Université;6305;227;3191;1996;783;84007;Avignon;Avignon Université;2007
Grand établissement;1608;375;849;25;359;92019;Châtenay-Malabry;CentraleSupélec;2007
Grand établissement;2522;189;834;300;1199;75106;Paris  6e;École des hautes études en sciences sociales;2007
Université;29384;2653;13544;4653;5708;75105;Paris  5e;Sorbonne Université;2008
École;1395;240;889;46;220;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2008
Autre établissement;1237;100;390;172;575;77083;Champs-sur-Marne;Paris-Est Sup;2008
École;1802;365;1164;105;168;94016;Cachan;École normale supérieure Paris-Saclay;2008
Université;21284;1070;10673;4646;4255;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2008
École;885;242;535;66;42;75105;Paris  5e;École normale supérieure PSL;2008
Université;21826;1269;11581;6394;2160;80021;Amiens;Université de Picardie Jules-Verne;2008
École;5412;487;2385;165;2375;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2008
Université;10034;348;4777;2863;2013;83062;La Garde;Université de Toulon;2008
Autre établissement;1520;207;1128;79;106;59350;Lille;Sciences Po Lille;2008
Université;14499;1154;8210;3152;1956;75105;Paris  5e;Université Panthéon-Assas;2008
Université;15978;720;8872;4296;2089;45234;Orléans;Université d'Orléans;2008
École;1079;80;800;193;5;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2008
Université;14417;653;7550;3892;2043;33318;Pessac;Université Bordeaux Montaigne;2008
École;281;60;207;6;8;91477;Palaiseau;Institut d'optique Graduate School;2008
Grand établissement;340;26;173;34;107;75105;Paris  5e;Muséum national d'histoire naturelle;2008
École;759;145;446;38;130;69387;Lyon 7e;École normale supérieure de Lyon;2008
École;3530;514;2185;234;596;54547;Vandœuvre-lès-Nancy;Université de Lorraine;2008
École;895;42;507;182;164;57463;Metz;Université de Lorraine;2008
École;1391;205;867;90;229;44109;Nantes;Centrale Nantes;2008
École;655;52;551;39;13;63014;Aubière;Clermont Auvergne INP;2008
Autre établissement;1560;167;1049;98;246;69387;Lyon 7e;Sciences Po Lyon;2008
Grand établissement;4516;487;3023;530;476;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2008
École;395;41;301;10;43;35238;Rennes;École nationale supérieure de chimie de Rennes;2008
Université;23196;1854;11355;4288;3809;75105;Paris  5e;Sorbonne Université;2008
École;3233;344;2065;209;615;31555;Toulouse;Toulouse INP;2008
École;377;49;284;27;17;33522;Talence;Bordeaux INP;2008
Grand établissement;105;24;73;2;6;75105;Paris  5e;École nationale des Chartes;2008
Grand établissement;1550;388;764;25;373;92019;Châtenay-Malabry;CentraleSupélec;2008
Université;15768;573;7322;4707;2941;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2009
École;1476;129;1130;59;158;35238;Rennes;Institut national des sciences appliquées de Rennes;2009
Université;29560;2715;13934;4552;5691;75105;Paris  5e;Sorbonne Université;2009
Université;15279;751;8407;3098;2886;63113;Clermont-Ferrand;Université Clermont Auvergne;2009
École;456;37;334;34;51;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2009
Université;13591;303;6601;4134;2375;57463;Metz;Université de Lorraine;2009
École;1430;222;931;44;233;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2009
École;1807;353;1148;68;238;94016;Cachan;École normale supérieure Paris-Saclay;2009
Université;22517;1116;11655;4785;4339;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2009
Autre établissement;1350;149;946;126;129;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2009
École;889;234;530;41;84;75105;Paris  5e;École normale supérieure PSL;2009
Université;22448;1265;11748;6267;2681;80021;Amiens;Université de Picardie Jules-Verne;2009
Université;16973;1148;7574;3557;4262;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2009
Université;11031;415;5731;3673;1080;77083;Champs-sur-Marne;Université Gustave Eiffel;2009
Université;13952;616;8208;3667;1367;62041;Arras;Université d'Artois;2009
Autre établissement;1811;194;1153;115;349;33318;Pessac;Sciences Po Bordeaux;2009
École;682;52;441;111;78;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2009
Université;16226;567;9409;4467;1781;54395;Nancy;Université de Lorraine;2009
Université;11291;450;6114;3064;1309;64445;Pau;Université de Pau et des Pays de l'Adour;2009
Université;18357;916;10113;5415;1852;59009;Villeneuve-d'Ascq;Université de Lille;2009
École;287;63;205;8;11;91477;Palaiseau;Institut d'optique Graduate School;2009
Université;9287;226;3925;3765;1303;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2009
Grand établissement;1789;188;1205;156;240;33522;Talence;Bordeaux INP;2009
Université;10509;382;5365;3348;1251;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2009
École;1659;172;1084;104;299;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2009
École;1392;307;793;22;270;69081;Écully;Centrale Lyon;2009
Université;29459;1361;13227;9261;4594;92050;Nanterre;Université Paris Nanterre;2009
École;1681;235;1013;101;332;44109;Nantes;Centrale Nantes;2009
Autre établissement;2831;217;1186;236;1192;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2009
Université;23919;1291;13577;5266;3761;86194;Poitiers;Université de Poitiers;2009
École;144;7;99;37;1;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2009
Université;18439;886;9343;4237;3929;59009;Villeneuve-d'Ascq;Université de Lille;2009
École;680;74;433;128;45;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2009
Université;27470;1955;14432;5713;4488;91471;Orsay;Université Paris-Saclay;2009
Université;28631;1206;14151;8614;4343;94028;Créteil;Université Paris-Est Créteil;2009
Université;6457;251;3328;1987;815;84007;Avignon;Avignon Université;2009
Grand établissement;1754;424;912;29;389;92019;Châtenay-Malabry;CentraleSupélec;2009
Université;17897;1732;11373;3393;1391;33063;Bordeaux;Université de Bordeaux;2009
Grand établissement;2672;211;899;287;1275;75106;Paris  6e;École des hautes études en sciences sociales;2009
École;455;37;333;32;53;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2010
Université;21119;1140;11777;5980;2109;51454;Reims;Université de Reims Champagne-Ardenne;2010
Université;8578;243;4745;2510;879;56121;Lorient;Université Bretagne Sud;2010
École;2122;425;1282;92;323;94016;Cachan;École normale supérieure Paris-Saclay;2010
Université;33182;1807;19854;7219;4201;44109;Nantes;Université de Nantes;2010
Université;24029;1407;14593;4639;2433;35238;Rennes;Université de Rennes 1;2010
Université;11404;404;6608;3185;1207;62041;Arras;Université d'Artois;2010
Grand établissement;9459;880;5636;1111;1831;75116;Paris 16e;Université Paris Dauphine - PSL;2010
Université;9122;333;4646;2709;1415;83062;La Garde;Université de Toulon;2010
Autre établissement;1476;217;1095;69;95;59350;Lille;Sciences Po Lille;2010
Université;23942;1480;13105;6568;2708;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2010
Autre établissement;1838;177;1256;153;252;13001;Aix-en-Provence;Sciences Po Aix;2010
Université;15602;1147;9093;3026;2304;75105;Paris  5e;Université Panthéon-Assas;2010
École;432;62;293;21;56;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2010
Université;18922;1045;11503;4188;2147;49007;Angers;Université d'Angers;2010
Université;16806;608;9811;4540;1843;54395;Nancy;Université de Lorraine;2010
École;1223;71;840;258;54;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2010
Université;11401;470;6313;2918;1375;64445;Pau;Université de Pau et des Pays de l'Adour;2010
Université;15466;670;8348;4065;2125;33318;Pessac;Université Bordeaux Montaigne;2010
Université;33209;2918;17495;7285;5500;75106;Paris  6e;Université de Paris;2010
Université;7974;242;4284;2064;1357;68224;Mulhouse;Université de Haute-Alsace;2010
Université;21817;1139;7452;6399;6825;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2010
Grand établissement;371;41;185;44;101;75105;Paris  5e;Muséum national d'histoire naturelle;2010
École;411;57;293;48;13;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2010
Université;12663;648;6389;4637;877;97120;Pointe-à-Pitre;;2010
Université;32215;2952;19942;6222;3099;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2010
École;642;49;534;49;10;63014;Aubière;Clermont Auvergne INP;2010
École;1528;312;915;63;238;69387;Lyon 7e;École normale supérieure de Lyon;2010
Université;27432;1699;17373;6260;2099;31555;Toulouse;Université Toulouse III - Paul Sabatier;2010
Grand établissement;2123;528;1131;82;382;92019;Châtenay-Malabry;CentraleSupélec;2010
École;1099;73;507;238;281;75105;Paris  5e;IAE Paris - Sorbonne Business School;2010
Université;3133;163;1493;1246;231;98738;Punaauia;Université de la Polynésie Française;2010
Grand établissement;4489;595;3001;243;649;38185;Grenoble;Institut polytechnique de Grenoble;2011
École;1438;215;903;60;260;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2011
Université;20865;1174;11816;5653;2155;51454;Reims;Université de Reims Champagne-Ardenne;2011
Université;24189;1136;13123;5122;4229;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2011
Université;19629;942;11452;4640;2481;25056;Besançon;Université de Franche-Comté;2011
Autre établissement;1635;176;1109;128;222;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2011
École;1135;293;654;37;151;75105;Paris  5e;École normale supérieure PSL;2011
Université;17836;1113;7977;3524;4902;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2011
Université;3362;112;1747;1223;159;30189;Nîmes;Université de Nîmes;2011
Université;9401;572;5498;2076;1249;33522;Talence;Université de Bordeaux;2011
Université;6895;226;3202;2072;1363;76351;Le Havre;Université Le Havre Normandie;2011
Université;14770;646;8043;3922;1901;33318;Pessac;Université Bordeaux Montaigne;2011
École;1689;172;1108;100;309;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2011
École;1670;140;1287;124;119;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2011
École;1995;413;1189;62;331;91272;Gif-sur-Yvette;CentraleSupélec;2011
Université;31807;1484;14931;9487;4912;92050;Nanterre;Université Paris Nanterre;2011
École;1918;263;1099;92;464;44109;Nantes;Centrale Nantes;2011
Autre établissement;3597;268;1498;316;1515;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2011
Grand établissement;5522;527;3691;589;715;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2011
École;475;52;344;18;61;35238;Rennes;École nationale supérieure de chimie de Rennes;2011
Université;27653;1745;17514;6229;2165;31555;Toulouse;Université Toulouse III - Paul Sabatier;2011
Grand établissement;8307;1271;5204;544;1229;75107;Paris  7e;Sciences Po;2011
École;321;70;212;16;23;75105;Paris  5e;Chimie ParisTech-PSL;2011
Université;6636;223;3428;1972;958;84007;Avignon;Avignon Université;2011
Grand établissement;2733;220;963;284;1266;75113;Paris 13e;École des hautes études en sciences sociales;2011
Université;10145;373;5516;2609;1647;59183;Dunkerque;Université du Littoral Côte d'Opale;2011
Université;31376;2895;15573;4416;5735;75105;Paris  5e;Sorbonne Université;2012
Université;25020;1514;13686;5718;4101;6088;Nice;Université Côte d'Azur;2012
École;833;45;616;117;55;42218;Saint-Étienne;Centrale Lyon;2012
Université;17466;989;8022;3595;4582;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2012
Autre établissement;1678;170;1238;157;113;13001;Aix-en-Provence;Sciences Po Aix;2012
École;440;56;300;21;63;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2012
Université;13884;549;7762;3710;1856;45234;Orléans;Université d'Orléans;2012
École;661;90;455;32;84;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2012
Université;18637;922;9984;5311;1826;59009;Villeneuve-d'Ascq;Université de Lille;2012
École;373;70;258;22;23;91477;Palaiseau;Institut d'optique Graduate School;2012
Grand établissement;188;9;69;42;68;35238;Rennes;École des hautes études en santé publique;2012
École;316;31;255;14;16;63014;Aubière;Clermont Auvergne INP;2012
Université;16126;898;8616;4288;2157;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2012
École;451;59;255;42;95;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2012
Université;7344;274;4063;1997;1010;17300;La Rochelle;La Rochelle Université;2012
Université;21244;1471;10430;3626;3779;75105;Paris  5e;Sorbonne Université;2012
Université;28397;1734;18082;6267;2314;31555;Toulouse;Université Toulouse III - Paul Sabatier;2012
Université;14543;609;7828;3441;2226;63113;Clermont-Ferrand;Université Clermont Auvergne;2012
École;199;14;157;21;7;87085;Limoges;Université de Limoges;2012
Grand établissement;51527;2439;30399;11397;7119;54395;Nancy;Université de Lorraine;2012
Université;20650;802;11124;6105;2601;35238;Rennes;Université Rennes 2;2012
Université;27603;1919;15291;4985;4185;91471;Orsay;Université Paris-Saclay;2012
Université;26998;1175;14023;8007;3726;94028;Créteil;Université Paris-Est Créteil;2012
Grand établissement;2725;635;1334;110;646;92019;Châtenay-Malabry;CentraleSupélec;2012
Grand établissement;2576;194;941;265;1176;75113;Paris 13e;École des hautes études en sciences sociales;2012
Université;12478;532;7375;3227;1342;73065;Chambéry;Université Savoie Mont Blanc;2012
Grand établissement;4691;648;3068;254;721;38185;Grenoble;Institut polytechnique de Grenoble;2013
Université;32103;2918;15943;4370;5671;75105;Paris  5e;Sorbonne Université;2013
Université;25922;1271;14065;5311;4693;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2013
Université;17110;898;8083;3443;4458;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2013
Université;24499;1899;15841;4388;2366;35238;Rennes;Université de Rennes 1;2013
Université;10323;453;4999;2156;2191;72181;Le Mans;Le Mans Université;2013
Université;27175;1360;14059;7071;4289;69387;Lyon 7e;Université Lumière - Lyon 2;2013
Autre établissement;1647;227;1215;87;118;59350;Lille;Sciences Po Lille;2013
Université;26882;1427;16111;6019;2881;21231;Dijon;Université de Bourgogne;2013
Grand établissement;1232;78;443;234;477;75114;Paris 14e;École pratique des hautes études;2013
Université;8945;254;4159;3211;1156;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2013
Grand établissement;83;13;39;5;26;75105;Paris  5e;Institut de physique du globe;2013
Grand établissement;329;33;156;46;94;75105;Paris  5e;Muséum national d'histoire naturelle;2013
École;492;64;290;40;98;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2013
École;1702;145;1304;124;129;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2013
École;2083;290;1130;86;577;44109;Nantes;Centrale Nantes;2013
École;404;78;281;21;24;35047;Bruz;École normale supérieure de Rennes;2013
Autre établissement;719;19;186;500;14;97607;Dembeni;Centre Universitaire de Mayotte;2013
Autre établissement;1433;65;958;347;63;35238;Rennes;;2013
Université;20125;926;10062;3900;3775;59009;Villeneuve-d'Ascq;Université de Lille;2013
Université;28552;1961;16138;4944;4258;91471;Orsay;Université Paris-Saclay;2013
Grand établissement;8792;1253;5464;663;1354;75107;Paris  7e;Sciences Po;2013
École;317;109;165;7;36;75105;Paris  5e;Chimie ParisTech-PSL;2013
Université;12487;576;7525;3008;1374;73065;Chambéry;Université Savoie Mont Blanc;2013
Université;17797;859;11561;3784;1584;29019;Brest;Université de Bretagne Occidentale;2014
Université;18369;706;8824;5127;3428;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2014
Autre établissement;2910;145;1816;815;134;34172;Montpellier;Université de Montpellier;2014
Université;46430;2236;27589;7699;8656;67482;Strasbourg;Université de Strasbourg;2014
Université;19763;896;11941;4419;2371;31555;Toulouse;Université Toulouse Capitole;2014
Autre établissement;1387;123;508;232;524;77083;Champs-sur-Marne;Paris-Est Sup;2014
Université;10556;446;6023;2934;883;77083;Champs-sur-Marne;Université Gustave Eiffel;2014
Université;8760;318;4622;2246;1359;83062;La Garde;Université de Toulon;2014
Autre établissement;3978;267;2733;894;84;59350;Lille;Université de Lille;2014
Université;11774;472;6877;2689;1416;64445;Pau;Université de Pau et des Pays de l'Adour;2014
Grand établissement;1218;77;458;213;470;75114;Paris 14e;École pratique des hautes études;2014
Grand établissement;2371;284;1697;166;224;33522;Talence;Bordeaux INP;2014
Université;10369;350;5467;2793;1544;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2014
École;356;32;288;12;24;63014;Aubière;Clermont Auvergne INP;2014
Université;16226;808;9475;3948;1988;38185;Grenoble;Université Grenoble Alpes;2014
Autre établissement;3476;268;1457;269;1482;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2014
Université;2536;83;996;1298;147;97302;Cayenne;Université de Guyane;2014
Université;26497;2307;18322;4060;1800;59350;Lille;Université de Lille;2014
École;489;49;352;21;67;35238;Rennes;École nationale supérieure de chimie de Rennes;2014
École;2053;434;1325;74;220;69387;Lyon 7e;École normale supérieure de Lyon;2014
École;193;21;146;18;8;87085;Limoges;Université de Limoges;2014
Université;17163;876;9639;3980;2602;42218;Saint-Étienne;Université Jean Monnet;2014
Université;28242;2006;16511;4521;4193;91471;Orsay;Université Paris-Saclay;2014
Grand établissement;114;26;67;10;11;75105;Paris  5e;École nationale des Chartes;2014
École;996;146;594;29;227;13213;Marseille 13e;Centrale Marseille;2015
Université;33789;2941;17070;4010;4947;75105;Paris  5e;Sorbonne Université;2015
Autre établissement;3178;165;2024;863;126;34172;Montpellier;Université de Montpellier;2015
École;1658;287;976;50;345;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2015
Grand établissement;251;22;176;34;19;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2015
École;350;46;255;10;39;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2015
Université;38399;2120;19790;6790;7058;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2015
École;1800;1496;48;9;247;94016;Cachan;École normale supérieure Paris-Saclay;2015
École;939;68;720;117;34;42218;Saint-Étienne;Centrale Lyon;2015
Université;39388;2534;24425;7224;5059;34172;Montpellier;Université de Montpellier;2015
Université;16481;908;8238;3024;4026;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2015
École;2738;189;1589;275;685;10387;Troyes;Université de technologie de Troyes;2015
École;3940;419;2589;232;700;60159;Compiègne;Université de technologie de Compiègne;2015
Université;27461;1087;14734;7119;3964;31555;Toulouse;Université Toulouse - Jean Jaurès;2015
Université;11926;507;7022;2386;1498;64445;Pau;Université de Pau et des Pays de l'Adour;2015
École;2886;160;1801;305;611;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2015
Grand établissement;78;8;40;4;26;75105;Paris  5e;Institut de physique du globe;2015
École;338;33;225;38;16;59512;Roubaix;École nationale supérieure des arts et industries textiles;2015
Université;18345;867;10580;4982;1692;95127;Cergy;CY Cergy Paris Université;2015
Autre établissement;3121;158;2068;794;101;35238;Rennes;;2015
École;944;82;756;39;67;63178;Issoire;Clermont Auvergne INP;2015
Université;20750;696;9999;5690;4154;93079;Villetaneuse;Université Sorbonne Paris Nord;2015
École;1774;375;1001;29;369;69081;Écully;Centrale Lyon;2015
École;481;44;345;14;78;35238;Rennes;École nationale supérieure de chimie de Rennes;2015
Université;30562;1938;20295;5114;2459;31555;Toulouse;Université Toulouse III - Paul Sabatier;2015
Université;22294;847;12603;5718;2853;35238;Rennes;Université Rennes 2;2015
École;320;108;159;5;48;75105;Paris  5e;Chimie ParisTech-PSL;2015
Université;30150;1487;17209;8054;3165;94028;Créteil;Université Paris-Est Créteil;2015
Université;6846;238;3796;1780;902;84007;Avignon;Avignon Université;2015
Grand établissement;146;33;87;13;13;75105;Paris  5e;École nationale des Chartes;2015
Grand établissement;2845;212;1092;279;1262;75113;Paris 13e;École des hautes études en sciences sociales;2015
Université;13213;577;8106;2733;1426;73065;Chambéry;Université Savoie Mont Blanc;2015
Université;19719;939;12952;3460;1807;29019;Brest;Université de Bretagne Occidentale;2016
Grand établissement;5155;699;3316;239;819;38185;Grenoble;Institut polytechnique de Grenoble;2016
Université;50140;2385;29951;7389;9249;67482;Strasbourg;Université de Strasbourg;2016
École;1605;275;967;37;326;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2016
Université;29043;1694;16876;5596;4445;6088;Nice;Université Côte d'Azur;2016
Université;39878;2589;24751;6376;5325;34172;Montpellier;Université de Montpellier;2016
Université;42575;2649;26231;7598;4877;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2016
Université;29401;1610;18587;5162;2738;21231;Dijon;Université de Bourgogne;2016
Université;7708;269;4063;1635;1504;76351;Le Havre;Université Le Havre Normandie;2016
Université;18840;904;11322;4271;1689;59009;Villeneuve-d'Ascq;Université de Lille;2016
Autre établissement;1175;76;431;109;559;6088;Nice;Université Côte d'Azur;2016
Université;8581;272;4916;2504;801;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2016
Grand établissement;78;5;29;3;41;75105;Paris  5e;Institut de physique du globe;2016
École;1867;212;1284;64;307;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2016
Université;42251;3715;26704;6095;3791;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2016
Université;31001;1417;16461;7262;4109;92050;Nanterre;Université Paris Nanterre;2016
Autre établissement;1531;187;1085;67;192;69387;Lyon 7e;Sciences Po Lyon;2016
Université;3364;115;1287;1446;454;97302;Cayenne;Université de Guyane;2016
Grand établissement;5835;714;3727;553;748;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2016
École;479;55;334;9;81;35238;Rennes;École nationale supérieure de chimie de Rennes;2016
Université;31388;1901;20562;4657;2507;31555;Toulouse;Université Toulouse III - Paul Sabatier;2016
Grand établissement;4973;1127;2617;128;1101;91272;Gif-sur-Yvette;CentraleSupélec;2016
Université;16101;783;10382;2826;1762;87085;Limoges;Université de Limoges;2016
École;878;86;610;117;65;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2016
Université;21944;1549;13829;3261;2101;91471;Orsay;Université Paris-Saclay;2016
Grand établissement;9746;1210;5694;488;2276;75107;Paris  7e;Sciences Po;2016
Grand établissement;153;32;96;12;13;75105;Paris  5e;École nationale des Chartes;2016
École;1516;91;632;358;435;75105;Paris  5e;IAE Paris - Sorbonne Business School;2016
Université;64867;3924;38177;12904;7624;13207;Marseille  7e;Aix-Marseille Université;2016
Université;8541;333;4978;1745;1343;59183;Dunkerque;Université du Littoral Côte d'Opale;2016
Grand établissement;5232;677;3283;221;953;38185;Grenoble;Institut polytechnique de Grenoble;2017
Université;19875;997;13033;3316;1901;31555;Toulouse;Université Toulouse Capitole;2017
École;1644;265;993;41;345;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2017
Autre établissement;1953;183;1310;158;302;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2017
Autre établissement;56;4;42;8;2;75104;Paris  4e;Université Paris Lumières;2017
Université;15827;834;8138;2656;3841;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2017
Autre établissement;1969;196;1237;101;435;33318;Pessac;Sciences Po Bordeaux;2017
Grand établissement;5841;405;2922;1405;1108;75113;Paris 13e;Institut national des langues et civilisations orientales;2017
Université;30443;1726;19632;5372;2744;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2017
Université;4495;159;2452;1263;212;30189;Nîmes;Université de Nîmes;2017
École;716;94;479;19;124;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2017
Université;28821;1679;18765;4755;2334;21231;Dijon;Université de Bourgogne;2017
Université;12331;514;7561;2094;1584;64445;Pau;Université de Pau et des Pays de l'Adour;2017
Université;9651;295;5646;1708;1727;68224;Mulhouse;Université de Haute-Alsace;2017
Autre établissement;1162;71;437;105;549;6088;Nice;Université Côte d'Azur;2017
École;354;27;264;31;28;59512;Roubaix;École nationale supérieure des arts et industries textiles;2017
Grand établissement;424;37;230;51;106;75105;Paris  5e;Muséum national d'histoire naturelle;2017
École;2015;190;1448;123;254;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2017
Université;57757;4386;30365;7302;8688;75106;Paris  6e;Sorbonne Université;2017
École;844;82;587;62;112;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2017
Université;20600;726;10527;4719;4327;93079;Villetaneuse;Université Sorbonne Paris Nord;2017
Université;42919;3904;27205;6078;3784;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2017
Autre établissement;2787;224;1177;198;1188;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2017
Université;27592;1632;17537;4006;3705;86194;Poitiers;Université de Poitiers;2017
Université;16548;805;10824;2585;1912;87085;Limoges;Université de Limoges;2017
Université;13774;633;8674;2369;1520;73065;Chambéry;Université Savoie Mont Blanc;2017
Université;51807;2532;31543;6418;9956;67482;Strasbourg;Université de Strasbourg;2018
Grand établissement;219;25;159;20;15;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2018
Autre établissement;1357;107;454;103;693;77083;Champs-sur-Marne;Paris-Est Sup;2018
Université;22004;1136;14647;3359;2095;25056;Besançon;Université de Franche-Comté;2018
Université;40927;2391;27726;5588;3498;44109;Nantes;Université de Nantes;2018
Université;9912;340;5875;1831;1485;83062;La Garde;Université de Toulon;2018
Autre établissement;2060;201;1329;75;455;33318;Pessac;Sciences Po Bordeaux;2018
Autre établissement;1542;181;1196;53;112;59350;Lille;Sciences Po Lille;2018
Université;17492;1195;11717;2363;2116;75105;Paris  5e;Université Panthéon-Assas;2018
École;4305;458;2745;164;924;60159;Compiègne;Université de technologie de Compiègne;2018
Université;4892;159;2829;1242;274;30189;Nîmes;Université de Nîmes;2018
Autre établissement;1306;169;946;66;125;35238;Rennes;Sciences Po Rennes;2018
Université;4259;179;3007;706;289;2B096;Corte;Université de Corse Pasquale Paoli;2018
Autre établissement;4733;260;2266;671;1536;6088;Nice;Université Côte d'Azur;2018
Université;56488;4232;30348;6648;8480;75106;Paris  6e;Sorbonne Université;2018
Université;26126;1487;17820;3558;2307;37261;Tours;Université de Tours;2018
Autre établissement;12166;1050;5742;1053;4321;91538;Saint-Aubin;Université Paris-Saclay;2018
Université;31714;1449;17752;6475;4116;92050;Nanterre;Université Paris Nanterre;2018
Université;3651;99;1480;1356;666;97302;Cayenne;Université de Guyane;2018
Université;17347;845;11707;2503;1925;87085;Limoges;Université de Limoges;2018
Université;66589;4044;41584;10980;7795;13207;Marseille  7e;Aix-Marseille Université;2018
Université;10990;701;7233;2171;546;97120;Pointe-à-Pitre;Université des Antilles;2018
Université;13877;636;9060;2040;1540;73065;Chambéry;Université Savoie Mont Blanc;2018
École;2086;302;1299;39;446;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2019
